CODI_LINIA;NOM_LINIA;ID_SENTIT;LONGITUD;FREQ.PASO;VEHÍCULOS UTILIZADOS;
220;D20;1;9560,82281;5;7,648658248;
220;D20;2;8934,54661;5;7,147637288;
240;D40;1;10725,7599;5;8,58060792;
240;D40;2;10770,24031;5;8,616192248;
250;D50;1;13446,64187;6;8,96442791333333;
250;D50;2;14239,1021;6;9,49273473333333;
202;H2;1;12305,13963;6;8,20342642;
202;H2;2;12176,38231;6;8,11758820666667;
204;H4;1;14641,96325;5;11,7135706;
204;H4;2;15054,0006;5;12,04320048;
206;H6;1;10065,10598;4;10,06510598;
206;H6;2;10914,54552;4;10,91454552;
208;H8;1;13496,61199;6;8,99774132666667;
208;H8;2;13357,00826;6;8,90467217333333;
210;H10;1;11911,44338;6;7,94096225333333;
210;H10;2;11617,92937;6;7,74528624666667;
212;H12;1;11488,85652;5;9,191085216;
212;H12;2;11094,16417;5;8,875331336;
214;H14;1;10310,98153;7;5,89198944571429;
214;H14;2;9090,65709;6;6,06043806;
216;H16;1;12903,49315;6;8,60232876666667;
216;H16;2;12929,03742;6;8,61935828;
201;V1;1;7945,90659;8;3,972953295;
201;V1;2;7183,38232;8;3,59169116;
203;V3;1;9113,01286;4;9,11301286;
203;V3;2;8228,53532;4;8,22853532;
205;V5;1;7113,14812;6;4,74209874666667;
205;V5;2;7779,11989;6;5,18607992666667;
207;V7;1;4944,52705;4;4,94452705;
207;V7;2;5161,79045;4;5,16179045;
209;V9;1;5920,98649;6;3,94732432666667;
209;V9;2;5630,16782;6;3,75344521333333;
211;V11;1;6611,80296;6;4,40786864;
211;V11;2;6240,24352;6;4,16016234666667;
213;V13;1;8962,77672;4;8,96277672;
213;V13;2;7574,62284;4;7,57462284;
215;V15;1;8562,17625;6;5,7081175;
215;V15;2;8265,86166;6;5,51057444;
217;V17;1;7744,37386;6;5,16291590666667;
217;V17;2;9678,59911;6;6,45239940666667;
219;V19;1;11501,00464;6;7,66733642666667;
219;V19;2;11198,00447;6;7,46533631333333;
221;V21;1;10178,34298;6;6,78556198666667;
221;V21;2;9186,46128;6;6,12430752;
223;V23;1;8311,4451;6;5,5409634;
223;V23;2;11282,82656;6;7,52188437333333;
225;V25;1;8472,22372;7;4,84127069714286;
225;V25;2;7908,34605;7;4,51905488571429;
227;V27;1;10823,59252;6;7,21572834666667;
227;V27;2;10896,77176;6;7,26451450666667;
229;V29;1;7278,52033;7;4,15915447428572;
229;V29;2;10371,03319;7;5,92630468;
231;V31;1;11468,0243;8;5,73401215;
231;V31;2;10673,49998;8;5,33674999;
233;V33;1;7986,83549;8;3,993417745;
233;V33;2;7852,80663;8;3,926403315;
242;X1;1;4979,3224;7;2,84532708571429;
