CODI_LINIA;NOM_LINIA;ID_SENTIT;LONGITUD;FREQ.PASO;VEHÍCULOS UTILIZADOS;
91;91;1;3744,66503;40;0,464214673140496;
91;91;2;2757,34381;40;0,341819480578512;
96;96;1;12843,41432;27;2,35875377777778;
96;96;2;12348,75375;27;2,26790702479339;
97;97;1;4372,75151;15;1,4455376892562;
97;97;2;5778,72993;15;1,91032394380165;
109;109;1;8504,96935;10;4,21734017355372;
109;109;2;11304,04338;10;5,60531076694215;
136;136;1;8150,12946;27;1,49680981818182;
136;136;2;6790,1684;27;1,24704653810836;
141;141;1;2786,67178;35;0,394805919244392;
141;141;2;2709,69443;35;0,383900037308146;
150;150;1;5659,14498;10;2,80618759338843;
150;150;2;4813,8321;10;2,38702418181818;
157;157;1;8039,55006;20;1,99327687438017;
157;157;2;6999,575;20;1,73543181818182;
165;165;1;10636,52147;15;3,5162054446281;
165;165;2;9942,65498;15;3,28682809256198;
175;175;1;5276,38388;25;1,04655548033058;
175;175;2;3109,53782;25;0,616767832066116;
182;182;1;5149,19594;20;1,27666015041322;
182;182;2;4980,68438;20;1,23488042479339;
183;183;1;1598,5399;20;0,39633220661157;
183;183;2;9793,09005;20;2,4280388553719;
185;185;1;6114,69706;22;1,37821872126221;
185;185;2;5356,30332;22;1,20728098873028;
191;191;1;2858,68789;20;0,708765592561984;
191;191;2;5013,85616;20;1,24310483305785;
192;192;1;4413,24235;34;0,643642540106952;
192;192;2;3941,87924;34;0,574897312591152;
196;196;1;2312,59907;15;0,764495560330579;
196;196;2;1917,75531;15;0,633968697520661;
;;;;SUMA;692,10995665203;
