Parada origen;Parada destino;Total (min);En autobús (min);A pie (min);Esperas (min);Veh. usados;Uso de línea ortogonal?;Uso de V+H?;Espera por vehículo;Lineas
3388;3293;23,760184314159595;14,289486961599998;5,346661320001932;4,124036032557664;1;0;0;4,124036032557664;['34']
368;3318;49,437778714852726;37,38253478346667;3,7851813999961763;8,270062531389883;3;1;1;2,756687510463294;['H6', 'V23', 'H16']
267;3570;39,96355056417328;26,608109027466668;10,863692840000049;2,4917486967065647;1;0;0;2,4917486967065647;['24']
3714;308;61,66463007594613;32,98213630133333;25,37330795999589;3,309185814616912;1;1;0;3,309185814616912;['H12']
1289;1048;49,093405579693936;26,749139025688887;16,00887288000211;6,335393674002939;2;1;0;3,1676968370014693;['V13', '47']
1755;3054;95,02584521092902;64,7654911;19,39109172000907;10,869262390919946;4;1;0;2,7173155977299865;['52', '70', 'H4', 'H2']
123;1472;37,48229166206397;30,73627331431111;1,5807391600038443;5,165279187749018;1;1;0;5,165279187749018;['V15']
3616;1606;27,150609953884143;10,410669306488888;15,128873760001476;1,6110668873937786;1;0;0;1,6110668873937786;['59']
3536;410;44,82070451345876;27,690069020444447;12,198506320000442;4,93212917301387;1;1;0;4,93212917301387;['V27']
1206;1203;95,81224602114497;72,0394776792889;14,059245200011839;9,713523141844245;3;1;0;3,237841047281415;['165', 'V3', '67']
458;1479;39,51164112424857;33,62310374693333;2,1659237600040577;3,7226136173111772;2;1;0;1,8613068086555886;['33', 'V17']
1267;297;33,322965590200255;12,41925329573333;15,3629476000013;5,540764694465624;2;1;0;2,770382347232812;['7', 'V5']
2550;988;29,65945941106041;13,408960225333331;14,109615520003091;2,1408836657239885;1;0;0;2,1408836657239885;['67']
1861;1243;18,833438257559138;3,031137538844444;12,198506319999122;3,6037943987155714;1;1;0;3,6037943987155714;['V23']
316;549;30,386050979396718;26,89583546115556;0;3,4902155182411567;1;0;0;3,4902155182411567;['63']
1582;907;42,40722647496388;30,774345572622224;5,028143119990965;6,604737782350691;3;1;1;2,201579260783564;['H6', 'V13', 'H12']
607;3322;73,45426300798314;67,16317164791113;1,6177761599952056;4,673315200076813;2;1;1;2,3366576000384063;['H4', 'V3']
366;3389;27,200497298174263;24,677806806488885;0;2,522690491685377;2;1;0;1,2613452458426886;['V21', '54']
1310;937;44,75654496823482;25,620296155555558;13,728875159999216;5,407373652680048;2;1;0;2,703686826340024;['D40', 'V15']
622;8285;35,176377371773164;29,109598011555555;4,9866616799989805;1,0801176802186294;1;0;0;1,0801176802186294;['68']
2568;2974;66,89788712171355;39,96646620204444;22,032570559986162;4,898850359682952;2;1;0;2,449425179841476;['V11', '27']
3058;99;58,71407808977432;36,9051155984889;19,306647360002525;2,502315131282902;2;1;0;1,251157565641451;['27', 'H6']
3682;1129;44,36703392275965;31,78627810044445;5,694809119995991;6,885946702319212;2;1;1;3,442973351159606;['H10', 'V19']
243;373;30,675895250483332;22,460047375288887;0,6859252399998219;7,529922635194627;2;1;0;3,7649613175973133;['H8', '7']
